bonus,exampoints
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
0.15,0.15
0.20,0.20
0.25,0.25
0.30,0.30
0.35,0.35
0.40,0.40
0.45,0.45
0.50,0.50
0.55,0.55
0.60,0.60
0.65,0.65
0.70,0.70
0.75,0.75
0.80,0.80
0.85,0.85
0.90,0.90
1.00,1.00
0.0,0.0
0.05,0.10
0.10,0.13
0.15,0.15
0.20,0.20
0.25,0.23
0.30,0.30
0.35,0.33
0.40,0.40
0.45,0.46
0.50,0.55
0.55,0.60
0.60,0.65
0.65,0.70
0.70,0.75
0.75,0.80
0.80,0.85
0.85,0.90
0.90,0.94
1.00,1.00
0.0,0.0
0.05,0.20
0.10,0.25
0.15,0.30
0.20,0.35
0.25,0.40
0.30,0.45
0.35,0.50
0.40,0.55
0.45,0.60
0.50,0.65
0.55,0.70
0.60,0.75
0.65,0.80
0.70,0.85
0.75,0.90
0.80,0.95
0.85,0.80
0.90,1.00
1.00,1.00
0.0,0.0
0.05,0.04
0.10,0.09
0.15,0.14
0.20,0.19
0.25,0.24
0.30,0.29
0.35,0.34
0.40,0.39
0.45,0.44
0.50,0.49
0.55,0.54
0.60,0.59
0.65,0.64
0.70,0.69
0.75,0.74
0.80,0.79
0.85,0.84
0.90,0.89
1.00,0.99
0.0,0.0
0.05,0.0
0.10,0.05
0.15,0.10
0.20,0.15
0.25,0.20
0.30,0.25
0.35,0.30
0.40,0.35
0.45,0.40
0.50,0.45
0.55,0.50
0.60,0.55
0.65,0.60
0.70,0.65
0.75,0.70
0.80,0.75
0.85,0.80
0.90,0.85
1.00,0.95
0.0,0.0
0.05,0.05
0.10,0.10
